me,c1,c2,c3,c4,c5,l1,l2,l3,l4,l5,paper,win
용바블퓨정,,바,,민,퓨,,3,,5,3,10,0
용바블퓨정,,샤,바,,퓨,,2,1,,2,6,1
홀라바퓨정,샤,,펌,트,퓨,5,,3,3,0,4,1
홀라바퓨정,,딸,바,,퓨,,5,2,,2,7,0
홀라바퓨정,홀,바,,,퓨,1,3,,,2,6,1
용바블퓨정,딸,,바,퓨,정,5,,2,2,5,10,1
용바블퓨정,딸,바,블,,뱀,5,3,5,,5,5,1
용바블퓨정,홀,샤,바,펌,퓨,0,5,2,3,2,6,0
용바블퓨정,홀,바,,퓨,뱀,1,2,,1,5,3,1
용바블퓨정,,샤,바,퓨,,,5,2,2,0,9,1
홀샤바펌퓨,홀,샤,바,,퓨,1,5,2,,3,8,1
홀샤바펌퓨,홀,샤,바,,퓨,0,5,2,,1,6,1
홀샤바펌퓨,,샤,바,,퓨,,5,2,,2,9,0
홀샤바펌퓨,홀,샤,,,퓨,2,3,,,2,5,1
홀샤바펌퓨,홀,,,바,퓨,1,,,3,2,6,0
홀샤바펌퓨,홀,샤,바,,퓨,1,5,2,,1,8,0
홀샤바펌퓨,홀,,바,,퓨,2,,0,,1,3,1
홀샤바펌퓨,홀,,바,,퓨,2,,1,,1,6,1
용바블퓨정,용,샤,바,퓨,,5,4,2,1,,7,1
홀샤바펌퓨,홀,바,,,퓨,2,2,,,2,7,1
홀샤바펌퓨,들,바,락,민,,5,2,4,4,,7,1
용바블퓨정,용,바,블,퓨,,5,3,5,1,,6,1
홀샤바펌퓨,,샤,바,,퓨,,4,1,,1,7,1
홀샤바펌퓨,,샤,블,퓨,페,,2,5,1,5,3,1
홀샤바펌퓨,홀,바,,,퓨,0,1,,,2,5,1
홀샤바펌퓨,홀,샤,바,퓨,,1,5,2,3,,7,1
홀샤바펌퓨,,샤,바,퓨,,,5,2,3,,8,1
홀샤바펌퓨,홀,바,,,퓨,1,3,,,3,8,0
홀샤바펌퓨,딸,샤,바,민,퓨,5,5,2,5,1,5,1
홀샤바펌퓨,딸,우,바,퓨,,5,5,2,1,,6,1
홀샤바펌퓨,홀,샤,바,,,0,3,2,,,10,1
홀샤바펌퓨,,샤,바,퓨,,,5,2,2,,7,1
용바블퓨정,,,블,퓨,정,,,5,2,5,8,0
용바블퓨정,홀,,바,,퓨,0,,1,,2,7,0
홀샤바펌퓨,용,,바,퓨,정,5,,2,2,5,7,1
홀샤바펌퓨,,바,,펌,퓨,,3,,4,2,7,0
홀샤바펌퓨,딸,,블,퓨,,5,,5,3,,9,1
홀샤바펌퓨,,샤,바,,퓨,,4,3,,2,8,0
홀샤바펌퓨,홀,바,,,퓨,1,2,,,3,8,0
