me,mypoint,mypower,mypaper,enpoint,enpower,paper,c1,c2,c3,c4,c5,l1,l2,l3,l4,l5,win
홀샤바펌퓨,2037,687047,11,2037,664777,9,홀,,,바,퓨,3,,,3,3,1
홀샤바펌퓨,2050,687047,11,2154,730613,12,홀,,딸,바,,0,,4,3,,1
용바블퓨정,2050,687047,11,2036,529468,9,들,,민,샴,,5,,5,5,,0
홀샤바펌퓨,2051,687047,11,2051,702457,4,홀,,바,,퓨,2,,2,,3,0
홀샤바펌퓨,2041,687047,11,2051,678618,10,홀,딸,,블,퓨,2,5,,5,2,1
홀샤바펌퓨,2050,687055,11,2050,665786,12,홀,바,,,퓨,2,2,,,2,0
홀샤바펌퓨,2040,687055,11,2048,678159,8,홀,,바,,퓨,0,,3,,2,0
홀샤바펌퓨,2030,687055,11,1888,561364,6,홀,샤,바,퓨,파,0,5,1,1,2,1
홀샤바펌퓨,2036,687055,11,2036,770821,10,홀,바,,,퓨,0,3,,,2,1
홀샤바펌퓨,2046,687055,11,2036,547787,0,들,바,락,민,퓨,5,2,5,5,3,1
홀샤바펌퓨,2054,687055,11,1883,621500,6,홀,,바,퓨,파,1,,1,1,4,1
홀샤바펌퓨,2059,687055,11,2059,661353,9,,딸,,바,퓨,,5,,2,1,1
홀샤바펌퓨,2068,687055,11,2016,557677,9,,딸,바,,퓨,,4,2,,2,1
홀샤바펌퓨,2076,687055,11,2068,623942,8,홀,샤,바,,,0,5,2,,,1
홀샤바펌퓨,2085,687055,11,2068,674354,9,홀,딸,샤,바,,2,5,5,3,,1
홀샤바펌퓨,2093,687055,11,2093,596854,9,홀,바,,,퓨,2,3,,,3,0
홀샤바펌퓨,2094,687060,11,2107,659642,8,,샤,바,,퓨,,5,3,,1,1
홀샤바펌퓨,2104,687060,11,2146,605149,9,홀,바,,,퓨,1,3,,,3,0
홀샤바목퓨,2098,630138,11,2098,605341,11,홀,바,,,퓨,2,3,,,3,0
홀바펌목퓨,2088,589331,11,2125,716916,9,,바,펌,,퓨,,3,3,,3,0
홀샤바펌퓨,2100,687060,11,2100,489377,10,딸,,바,,퓨,5,,2,,2,1
홀샤바펌퓨,2110,687060,11,2100,610413,10,홀,샤,바,,,1,5,3,,,0
홀샤바펌퓨,2103,687060,11,2103,709235,10,홀,,바,,퓨,2,,3,,2,1
홀샤바펌퓨,2113,687060,11,2092,778212,12,홀,샤,바,,,1,5,3,,,1
